School_ID,NAME_OF_SCHOOL,"Elementary, Middle, or High School",HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE,Family_Involvement_Icon,Family_Involvement_Score,Environment_Icon,Environment_Score,Instruction_Icon,Instruction_Score,Leaders_Icon,Leaders_Score,Teachers_Icon,Teachers_Score,AVERAGE_STUDENT_ATTENCE,COLLEGE_ENROLLMENT,COMMUNITY_AREA_NUMBER
609901,Edgebrook Elementary School,ES,FALSE,Very Strong,99,Very Strong,99,Average,51,Average,53,Weak,66,Strong,70,96.90%,468,12
610523,Edison Park Elementary School,ES,FALSE,Very Strong,95,,,Average,52,Average,49,Weak,,,,96.10%,431,10
609819,Edmond Burke Elementary School,ES,FALSE,Very Weak,1,,,Very Weak,13,Weak,22,Weak,,,,89.30%,244,40
609815,Edward A Bouchet Math & Science Academy Elementary School,ES,FALSE,Weak,33,Average,57,Average,55,Average,50,Weak,53,Average,58,92.90%,783,43
610246,Edward Beasley Elementary Magnet Academic Center,ES,FALSE,Average,47,,,Weak,34,Average,48,Weak,,,,95.00%,1365,40
609881,Edward C Delano Elementary School,ES,FALSE,Weak,38,Strong,64,Strong,66,Average,52,Weak,63,Strong,79,93.40%,414,26
609862,Edward Coles Elementary Language Academy,ES,FALSE,Weak,22,Average,43,Average,40,Average,54,Weak,52,Average,53,95.10%,554,46
609909,Edward Everett Elementary School,ES,FALSE,,,Strong,66,,,,,Weak,47,Average,45,95.30%,321,59
610012,Edward Jenner Elementary Academy of the Arts,ES,FALSE,Average,50,Weak,34,Strong,62,Average,41,Weak,20,Weak,26,88.90%,314,8
609904,Edward K Ellington Elementary School,ES,FALSE,Weak,30,,,Weak,37,Average,55,Weak,,,,93.30%,377,25
610006,Edward N Hurley Elementary School,ES,FALSE,Strong,77,Average,56,Average,50,Average,49,Weak,43,Average,54,95.40%,830,65
609735,Edward Tilden Career Community Academy High School,HS,FALSE,Weak,34,Average,57,Average,45,Weak,37,Weak,54,Weak,35,78.40%,461,61
610315,Edward White Elementary Career Academy,ES,FALSE,Weak,27,,,Average,44,Average,48,Weak,,,,93.80%,138,53
609708,Edwin G Foreman High School,HS,FALSE,Weak,26,,,Weak,28,Weak,23,Weak,,,,84.30%,1716,15
